GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,0,338,0,8,0,74,0,17,0,13
spring-boot-skeleton,com.nnk.springboot.controllers,CurvePointController,0,335,0,8,0,73,0,17,0,13
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,335,0,8,0,73,0,17,0,13
spring-boot-skeleton,com.nnk.springboot.controllers,ErrorPageController,75,0,6,0,22,0,7,0,4,0
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,335,0,8,0,73,0,17,0,13
spring-boot-skeleton,com.nnk.springboot.controllers,GlobalControllerExceptionHandler,19,0,0,0,5,0,3,0,3,0
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,335,0,8,0,73,0,17,0,13
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,19,316,1,7,4,69,1,16,0,13
spring-boot-skeleton,com.nnk.springboot.services,TradeServiceImpl,0,134,0,4,0,25,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.services,RuleNameServiceImpl,0,134,0,4,0,25,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.services,RatingServiceImpl,0,134,0,4,0,25,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.services,CurvePointServiceImpl,0,134,0,4,0,25,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.services,UserServiceImpl,107,183,10,6,21,34,8,11,2,9
spring-boot-skeleton,com.nnk.springboot.services,BidListServiceImpl,0,134,0,4,0,25,0,10,0,8
spring-boot-skeleton,com.nnk.springboot.config,SpringSecurityConfig,78,0,0,0,21,0,5,0,5,0
spring-boot-skeleton,com.nnk.springboot,Application,8,0,0,0,3,0,2,0,2,0
spring-boot-skeleton,com.nnk.springboot.domain,Rating,28,10,0,0,12,4,8,3,8,3
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,42,10,0,0,18,4,12,3,12,3
spring-boot-skeleton,com.nnk.springboot.domain,BidList,147,10,0,0,63,4,42,3,42,3
spring-boot-skeleton,com.nnk.springboot.domain,Trade,140,10,0,0,60,4,40,3,40,3
spring-boot-skeleton,com.nnk.springboot.domain,User,11,27,0,0,5,11,3,8,3,8
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,35,10,0,0,15,4,10,3,10,3
spring-boot-skeleton,com.nnk.springboot.exceptions,AlreadyExistException,4,0,0,0,2,0,1,0,1,0
spring-boot-skeleton,com.nnk.springboot.exceptions,RessourceNotFoundException,0,4,0,0,0,2,0,1,0,1
